Model,Train Accuracy,Train Loss,Test Accuracy,Test Loss,Parameters,Training Time (s),Inference Time (s/sample),Model Size (MB),Original Accuracy (%),Original Loss (%),Dynamic Range Accuracy (%),Float16 Accuracy (%),INT8 Accuracy (%),Dynamic Inference Time (ms),Float16 Inference Time (ms),INT8 Inference Time (ms),Dynamic Model Size (MB),Float16 Model Size (MB),INT8 Model Size (MB)
MobileNet,0.68,1.09,0.66,1.13,3791464,372.53,0.0427,18.95,66.92,113.64,65.33,66.99,55.7,25.36,19.13,21.27,3.77,7.19,3.9
MobileNetV2,0.67,1.14,0.63,1.24,2948584,334.69,0.076,16.87,63.96,124.8,63.43,63.89,56.23,20.2,11.46,15.82,3.06,5.57,3.26
EfficientNetB0,0.72,0.96,0.72,0.94,4740171,423.58,0.2052,23.81,72.15,94.24,71.58,72.23,36.29,35.45,23.68,23.6,5,9.02,5.36
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Original Accuracy (%),Dynamic Range Accuracy (%),Float16 Accuracy (%),INT8 Accuracy (%),,,,
,,,,,,,,,,,MobileNet,66.92,65.33,66.99,55.7,,,,
,,,,,,,,,,,MobileNetV2,63.96,63.43,63.89,56.23,,,,
,,,,,,,,,,,EfficientNetB0,72.15,71.58,72.23,36.29,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Dynamic Inference Time (ms),Float16 Inference Time (ms),INT8 Inference Time (ms),,,,,
,,,,,,,,,,,MobileNet,25.36,19.13,21.27,,,,,
,,,,,,,,,,,MobileNetV2,20.2,11.46,15.82,,,,,
,,,,,,,,,,,EfficientNetB0,35.45,23.68,23.6,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Dynamic Model Size (MB),Float16 Model Size (MB),INT8 Model Size (MB),,,,,
,,,,,,,,,,,MobileNet,3.77,7.19,3.9,,,,,
,,,,,,,,,,,MobileNetV2,3.06,5.57,3.26,,,,,
,,,,,,,,,,,EfficientNetB0,5,9.02,5.36,,,,,
